,Abbreviation,FullForm
2918,mfr ,motherf**ker
2919,mfw ,my face when
2920,mgiwjsdchmw ,my girlfriend is watching jeff so don't call her my wife
2921,mgmt ,management 
2922,mhh ,my head hurts
2923,mhm ,Yes
2924,mho ,My Humble Opinion
2925,mia ,Missing In Action
2926,mic ,microphone
2927,miid ,my internet is down
2928,milf ,Mom i'd like to f**k
2929,miltf ,Mom I'd like to f**k
2930,min ,minute
2931,mins ,minutes
2932,miq ,make it quick
2933,mir ,mom in room
2934,mirl ,meet in real life
2935,misc. ,miscellaneous
2936,miself ,myself
2937,mite ,might
2938,miw ,mom is watching
2939,miwnlf ,mom I would not like to f**k.
2940,mk ,mmm....ok
2941,mkay ,ok
2942,mlc ,mid life crisis
2943,mle ,emily
2944,mlg ,Major League Gaming
2945,mlia ,my life is amazing
2946,mlm ,multi level marketer
2947,mlod ,mega laugh out loud of doom
2948,mlp ,my little pony
2949,mmamp ,Meet me at my place
2950,mmas ,meet me after school
2951,mmatc ,meet me around the corner
2952,mmatp ,meet me at the park
2953,mmbocmb ,message me back or comment me back
2954,mmd ,make my day
2955,mmiw ,my mom is watching
2956,mmk ,"umm, ok"
2957,mml ,making me laugh
2958,mml8r ,meet me later
2959,mmlfs ,married man looking for sex
2960,mmmkay ,okay
2961,mmo ,Massive Multiplayer Online
2962,mmorpg ,massively multiplayer online role playing game
2963,mmt ,meet me there
2964,mmtyh ,My mom thinks you're hot
2965,mmw ,making me wet
2966,mngmt ,management
2967,mngr ,manager
2968,mnm ,eminem
2969,mnt ,More next time
2970,mobo ,motherboard
2971,mof ,matter of fact
2972,mofo ,mother f**ker
2973,moh ,Medal Of Honor
2974,mohaa ,Medal of Honor Allied Assult
2975,mol ,more or less
2976,mompl ,moment please
2977,moobs ,man boobs
2978,mor ,more
2979,morf ,male or female
2980,moro ,tomorrow
2981,mos ,mom over shoulder
2982,moss ,member of same sex
2983,motarded ,more retarded
2984,motd ,message of the day
2985,motos ,member of the opposite sex
2986,mpaw ,my parents are watching
2987,mpbis ,most popular boy in school
2988,mpd ,Multiple Personality Disorder
2989,mpgis ,most popular girl in school
2990,mph ,miles per hour
2991,mpih ,my penis is hard
2992,mpty ,more power to you
2993,mrau ,message received and understood
2994,msf ,male seeking female
2995,msg ,message
2996,msgs ,messages
2997,msh ,Me so horny
2998,msibo ,my side is busting open
2999,msie ,microsoft's internet explorer
3000,msm ,main stream media
3001,msmd ,monkey see - monkey do
3002,msngr ,messenger
3003,mssg ,message
3004,mstrb8r ,masturbator
3005,msv ,Microsoft Vista
3006,mtc ,more to come
3007,mtf ,More to Follow
3008,mtfbwu ,may the force be with you
3009,mtfbwy ,May the Force be with you
3010,mtg ,Meeting
3011,mtherfker ,mother f**ker
3012,mthrfkr ,mother f**ker
3013,mtl ,more than likely
3014,mtr ,matter
3015,mtrfkr ,motherf**ker
3016,mty ,empty
3017,mu ,miss you
3018,mudda ,mother
3019,mul ,miss you lots
3020,musiq ,music
3021,musm ,Miss You So Much
3022,mutha ,mother
3023,muve ,multi-user virtual environment
3024,muvva ,mother
3025,muzik ,music
3026,Mvp ,Most valuble player
3027,mw2 ,modern warfare 2
3028,mw3 ,Modern Warfare 3
3029,mwah ,kiss
3030,mwf ,Married White Female
3031,mwm ,married white man
3032,mwsmirl ,maybe we should meet in real life
3033,myaly ,miss you and love you
3034,myfb ,mind your f**king business
3035,myke ,man-dyke
3036,myn ,mine
3037,myob ,mind your own business
3038,myodb ,mind your own damn business
3039,myofb ,mind your own f**king business
3040,mypl ,my young padawan learner
3041,mysm ,Miss you so much
3042,myspce ,myspace
3043,Oml ,Oh my lord
3044,Sma ,Suck my ass
3045,n ,and
3046,n e ,any
3047,n/a ,not applicable
3048,n/a/s/l ,"name, age, sex location"
3049,n/c ,no comment
3050,n/m ,nevermind
3051,n/n ,nickname
3052,n/o ,no offense
3053,n/r ,No replys 
3054,n/t ,no text
3055,n00b ,newbie
3056,n00bs ,newbies
3057,n00dz ,nudes
3058,n00s ,news
3059,n1 ,nice one
3060,n199312 ,african american
3061,n1994 ,african american
3062,n2 ,into
3063,n2b ,not too bad
3064,n2bb ,nice to be back
3065,n2bm ,Not to be mean
3066,n2br ,not to be rude
3067,n2g ,Not too good
3068,n2m ,not too much
3069,n2mh ,not too much here
3070,n2mhbu ,not too much how about you?
3071,n2mhjc ,not too much here just chillin
3072,n2mu ,"not too much, you?"
3073,n2n ,need to know
3074,n2p ,need to pee
3075,n64 ,Nintendo 64
3076,n8v ,native
3077,na ,not applicable
3078,na4w ,not appropriate for work
3079,naa ,not at all
3080,nade ,grenade
3081,nafc ,Not Appropriate for Children
3082,nafkam ,Not Away From Keyboard Any More
3083,naft ,Not A f**king Thing
3084,nafta ,North American Free Trade Agreement
3085,nah ,no
3086,namh ,not at my house
3087,nao ,Not As Often
3088,natch ,naturally
3089,natm ,not at the minute
3090,naw ,no
3091,naw-t ,Naughty
3092,nawidt ,never again will i do that
3093,nawt ,not
3094,naww ,no
3095,nayl ,in a while
3096,nb ,not bad
3097,"nb,p ","nothing bad, parents"
3098,nba ,national basketball association 
3099,nbd ,no big deal
3100,nbdy ,nobody
3101,nbf ,never been f**ked
3102,nc ,not cool
3103,ncaa ,National Collegiate Athletic Association
3104,ncs ,no crap sherlock
3105,nd ,and
3106,ndit ,No details in thread
3107,ndn ,indian
3108,nds ,Nintendo DS
3109,ne ,any
3110,ne1 ,anyone
3111,neday ,any day
3112,nedn ,any day now
3113,nefing ,anything
3114,negl ,not even going to lie
3115,nei ,Not enough information
3116,neida ,any idea
3117,nekkid ,naked
3118,nemore ,Anymore
3119,nes ,Nintendo Entertainment System
3120,nethin ,anything
3121,nething ,anything
3122,neva ,never
3123,nevah ,never
3124,nevar ,Never
3125,nevarz ,never
3126,nevm ,never mind
3127,nevr ,never
3128,newais ,Anyways
3129,neway ,anyway
3130,neways ,anyways
3131,newayz ,anyways
3132,newb ,someone who is new
3133,newbie ,new player
3134,newez ,anyways
3135,nf ,not funny
3136,nfbsk ,not for british school kids
3137,nfc ,no f**king clue
3138,nfd ,no f**king deal
3139,nff ,not f**king fair
3140,nfg ,No f**king Good
3141,nfi ,no f**king idea
3142,nfr ,not for real
3143,nfs ,not for sale
3144,nft ,no further text
3145,nfw ,no f**king way
3146,ng ,nice game
3147,ngaf ,nobody gives a f**k
3148,ngl ,Not Gonna Lie
3149,nh ,nice hand
3150,nhatm ,not here at the moment
3151,ni ,no idea
3152,ni994 ,n***a
3153,nib ,new in box
3154,nic ,Network Interface Card
3155,nif ,non internet friend
3156,nifoc ,naked in front of computer
3157,nifok ,naked in front of keyboard
3158,nigysob ,now I've got you son of a b***h
3159,nimby ,not in my backyard
3160,nin ,no its not
3161,nip ,nothing in particular
3162,nips ,nipples
3163,nite ,night
3164,nitfm ,not in the f**king mood
3165,nitm ,Not in the mood
3166,niwdi ,no I won\'t do it
3167,nizzle ,n****r
3168,nj ,Nice job
3169,njoy ,enjoy
3170,njp ,nice job partner
3171,nk ,no kidding
3172,nkd ,Naked
3173,nkt ,never knew that
3174,nld ,nice lay down
3175,nm ,not much
3176,nm u ,"not much, you"
3177,nmb ,Not my business 
3178,nmbr ,number
3179,nme ,enemy
3180,nmf ,not my fault
3181,nmfp ,not my f**king problem
3182,nmh ,not much here
3183,nmhau ,nothing much how about you
3184,nmhbu ,nothing much how about you
3185,nmhm ,"nothing much here, man"
3186,nmhu ,"nothing much here, you?"
3187,nmhwby ,nothing much here what about you
3188,nmjb ,nothing much just bored
3189,nmjc ,"not much, just chillin'"
3190,nmjch ,Nothing Much Just Chilling
3191,nmjcu ,"nothing much, just chilling, you?"
3192,nmjdhw ,nothing much just doing homework
3193,nmjfa ,"nothing much, just f**king around"
3194,nmnhnlm ,"no money, no honey, nobody loves me"
3195,nmp ,Not My Problem
3196,nmu ,"nothing much, you"
3197,nmw ,no matter what
3198,nmwh ,no matter what happens
3199,nn ,good night
3200,nn2r ,no need to respond
3201,nnaa ,no not at all
3202,nnfaa ,no need for an apology
3203,nnr ,no not really
3204,nntr ,no need to reply
3205,nntst ,no need to say thanks
3206,no pro ,no problem
3207,no1 ,no one
3208,noaa ,National Oceanic and Atmospheric Administration
3209,noc ,naked on camera
3210,noe ,know
3211,noes ,no
3212,nofi ,No Flame Intended
3213,nolm ,No one loves me
3214,nomw ,not on my watch
3215,noob ,someone who is new
3216,noobie ,new person
3217,nooblet ,new player
3218,noobz0r ,newbie
3219,noodz ,nude pictures
3220,nookie ,sex
3221,nop ,normal operating procedure
3222,norc ,No one really cares
3223,NORWICH ,knickers off ready when I come home
3224,notin ,nothing
3225,noty ,no thank you
3226,noub ,none of your business
3227,nowai ,No way
3228,nowin ,knowing
3229,noyb ,none of your business
3230,noygdb ,none of your god damn business
3231,np ,no problem
3232,np4np ,naked pic for naked pic
3233,npa ,not paying attention
3234,npc ,Non-playable character
3235,npe ,nope
3236,npgf ,no problem girl friend
3237,nph ,no problem here
3238,npi ,no pun intended
3239,npnt ,"no picture, no talk"
3240,nps ,No Problems
3241,nq ,Thank you
3242,nqa ,no questions asked
3243,nr , no reserve
3244,nr4u ,not right for you
3245,nrg ,energy
3246,nrn ,No Response Necessary
3247,ns ,nice
3248,nsa ,No Strings Attached
3249,nsas ,No Strings Attached Sex
3250,nsfmf ,not so fast my friend
3251,nsfu ,no sex for you
3252,nsfw ,not safe for work
3253,nss ,no s**t sherlock
3254,nst ,no school today
3255,nstaafl ,No Such Thing As a Free Lunch
3256,nt ,nice try
3257,ntb ,not to bad
3258,ntbn ,no text-back needed
3259,nthg ,nothing
3260,nthin ,nothing
3261,nthn ,nothing
3262,ntigaf ,not that i give a f**k
3263,ntk ,Need to know
3264,ntkb ,need to know basis
3265,ntm ,not to much
3266,ntmk ,Not to my knowledge
3267,ntmu ,nice to meet you
3268,ntmy ,nice to meet you
3269,ntn ,nothing
3270,ntrly ,Not Really
3271,nts ,note to self
3272,ntstt ,not safe to talk 
3273,ntt ,need to talk
3274,ntta ,nothing to talk about 
3275,nttawwt ,Not that there is anything wrong with that
3276,nttiawwt ,Not that there is anything wrong with that.
3277,ntty ,nice talking to you
3278,ntw ,not to worry
3279,ntxt ,no text
3280,nty ,no thank you
3281,nu ,new
3282,nub ,inexperienced person
3283,nuff ,enough
3284,nuffin ,nothing
3285,nufin ,nothing
3286,nutin ,nothing
3287,nuttin ,nothing
3288,nv ,envy
3289,nvm ,never mind
3290,nvmd ,nevermind
3291,nvmdt ,never mind then
3292,nvmt ,nevermind that
3293,nvr ,never
3294,nvrm ,Nevermind
3295,nvrmnd ,never mind 
3296,nw ,no way
3297,nwb ,a new person
3298,nwih ,no way in hell
3299,nwj ,No Way Jose
3300,nwo ,new world order
3301,nwrus ,no way are your serious 
3302,nws ,not work safe
3303,nwtf ,now what the f**k
3304,nwy ,no way
3305,nxt ,next
3306,ny1 ,Anyone
3307,nyc ,New York City
3308,nyf ,not your fault
3309,nyp ,not your problem
3310,nywy ,anyway
3311,doge ,dog
3312,o ,Oh
3313,o rly ,oh really
3314,o&o ,over and out
3315,o.p. ,Original Poster
3316,o/y ,oh yeah
3317,o4b ,Open for business
3318,oaoa ,over and over again
3319,oar ,on a roll
3320,oaw ,on a website
3321,obgjfioyo ,old but good job finding it on your own
3322,obj ,Object
3323,obl ,osama bin laden
3324,obo ,or best offer
3325,obtw ,"oh, by the way"
3326,obv ,obviously
3327,obvi ,obviously
3328,oc ,Original character 
3329,occ ,Occupation
3330,ocd ,obsessive compulsive disorder
3331,ocgg ,"Oh Crap, gotta go"
3332,od ,over dose
3333,oday ,software illegally obtained before it was released
3334,odg ,oh dear God
3335,odtaa ,one damn thing after another
3336,oe ,or else
3337,oed ,oxford english dictionary
3338,of10 ,often
3339,ofc ,of course
3340,ofcol ,oh for crying out loud
3341,ofn ,Old f**king News
3342,oftc ,out for the count
3343,oftn ,often
3344,oftpc ,off topic
3345,ofwg ,old fat white guys
3346,og ,original gangster
3347,ogw ,oh guess what
3348,oh noes ,oh s**t!
3349,oh noez ,Oh no!
3350,ohic ,oh I see
3351,ohn ,oh hell no
3352,ohnoez ,Oh no
3353,ohy ,oh hell yeah
3354,oibmpc ,oops I broke my computer
3355,oic ,"oh, I see"
3356,oicic ,oh i see i see
3357,oicu ,"oh, i see you!"
3358,oicwydt ,"oh, i see what you did there"
3359,oidia ,oops i did it again
3360,oink ,Oh I Never Knew
3361,oiyd ,Only In Your Dreams
3362,oj ,orange juice
3363,ojsu ,"Oh, just shut up!"
3364,ok ,okay
3365,oll ,online love
3366,olpc ,One Laptop Per Child
3367,omdg ,oh my dear god
3368,omdz ,Oh My Days 
3369,omfd ,oh my f**king days
3370,omfg ,oh my f**king god
3371,omfgn ,Oh my f**king god noob
3372,omfgsh ,Oh My f**king Gosh
3373,omfj ,oh my f**king jesus
3374,omfl ,oh my f**king internet connection is slow
3375,omfsm ,Oh My Flying Spaghetti Monster
3376,omfwtg ,Oh My f**k What The God?
3377,omg ,oh my God
3378,omg's ,oh my god's
3379,omgd ,Oh my gosh dude
3380,omgf ,oh my god...f**k!
3381,omgg ,Oh my gosh girl
3382,omgicfbi ,Oh my god I can't f**king believe it
3383,omgih ,Oh My God In Heaven
3384,omgihv2p ,oh my god i have to pee
3385,omginbd ,"Oh my God, It's no big deal"
3386,omgn ,oh my goodness
3387,omgny ,oh my god no way
3388,omgosh ,Oh my gosh
3389,omgroflmao ,oh my god roll on the floor laughing my ass off
3390,omgsh ,oh my gosh
3391,omgty ,Oh my god thank you
3392,omgukk ,oh my god you killed kenny
3393,omgwtf ,"on my God, what the f**k"
3394,OMGWTFBBQ ,"oh my God, what the f**k"
3395,omgwtfhax ,"Oh My God What The f**k, Hacks!"
3396,omgwtfit ,"Oh my God, what the f**k is that"
3397,OMGWTFNIPPLES ,"on my God, what the f**k"
3398,omgyg2bk ,oh my god you got to be kidding
3399,omgykkyb ,oh my god you killed kenny you b*****ds
3400,omgz ,oh my God
3401,omgzors ,oh my god
3402,omhg ,oh my hell god
3403,omj ,oh my jesus
3404,ommfg ,oh my mother f**king god
3405,omt ,one more time
3406,omw ,on my way
3407,omwh ,on my way home
3408,omwts ,on my way to school
3409,omy ,oh my!
3410,onoez ,oh no
3411,onoz ,oh no
3412,onud ,oh no you didn't
3413,onyd ,oh no you didn't
3414,oob ,out of buisness
3415,oobl ,out of breath laughing
3416,ooc ,out of character
3417,oohm ,out of his/her mind
3418,oom ,Out of mana
3419,oomf ,One of my followers
3420,oomm ,out of my mind
3421,ooo ,out of the office
3422,ootb ,out of the blue
3423,ootd ,outfit of the day
3424,oow ,On our way
3425,ooym ,out of your mind
3426,op ,operator
3427,orgy ,orgasm
3428,orlsx ,oral sex
3429,orly ,Oh Really
3430,orly ,oh really?
3431,orpg ,online role playing game
3432,os ,operating system
3433,osbutctt ,only sad b*****ds use this crappy text talk
3434,osd ,On Screen Display
3435,osifgt ,oh s**t i forgot
3436,oslt ,or something like that
3437,osy ,oh screw you
3438,ot ,off topic
3439,otb ,off the boat
3440,otc ,off the chain
3441,otfcu ,on the floor cracking up
3442,otfl ,on the floor laughing
3443,otflmao ,On the floor laughing my ass off
3444,otflmfao ,On the floor laughing my f**king ass off
3445,otflol ,on the floor laughing out loud
3446,otfp ,on the f**king phone
3447,otft ,over the f**king top
3448,oti ,on the internet
3449,otl ,out to lunch
3450,otoh ,on the other hand
3451,otp ,on the phone
3452,ots ,over the shoulder
3453,ott ,over the top
3454,otw ,on the way
3455,outa ,out of
3456,ova ,over
3457,oways ,oh wow are you serious
3458,owned ,made to look bad
3459,ownt ,made to look bad
3460,ownz ,owns
3461,ownzer ,one who makes others look bad
3462,ownzorz ,Owned.
3463,owt ,Out
3464,oww ,"Oops, wrong window"
3465,oyfe ,Open Your f**king Eyes
3466,oyid ,oh yes i did
3467,oyo ,on your own
3468,oyr ,Oh Yeah Right
3469,p-nis ,penis
3470,p.o.b. ,Parent Over Back
3471,p.o.s ,parent over shoulder
3472,p.o.s. ,parent over shoulder
3473,p/oed ,pissed off
3474,p/w ,password
3475,p00p ,poop
3476,p0wn ,make to look bad
3477,p2p ,peer to peer
3478,p2w ,pay to win
3479,p33n ,penis
3480,p3n0r ,penis
3481,p3n15 ,penis
3482,p3n1s ,penis
3483,p4p ,pic for pic
3484,p911 ,parent emergency (parent near)
3485,p@w ,parents are watching
3486,pach ,parents are coming home
3487,pachs ,parents are coming home soon
3488,pae ,Pimpin aint easy
3489,pag ,Parents Are Gone
3490,pah ,parents at home
3491,panl ,party all night long
3492,parnts ,parents
3493,pas ,parent at side
3494,pasii ,put a sock in it
3495,patd ,Panic At The Disco
3496,paw ,parents are watching
3497,pb ,peanut butter
3498,pb&j ,peanut butter and jelly
3499,pbb ,parent behind back
3500,pbcakb ,problem between chair and keyboard
3501,pbj ,peanut butter and jelly
3502,pbjt ,peanut butter jelly time
3503,pbkc ,Problem between keyboard & chair
3504,pbly ,probably
3505,pbm ,parent behind me
3506,pbp ,Please Be Patient
3507,pcbd ,page cannot be displayed
3508,pce ,peace
3509,pcent ,percent
3510,pcm ,please call me
3511,pco ,please come over
3512,pcrs ,Parents can read slang
3513,pda ,public display of affection
3514,pdg ,pretty damn good
3515,pdq ,pretty damn quick
3516,peanus ,penis
3517,pearoast ,repost
3518,pebcak ,Problem Exists Between Chair and Keyboard
3519,pebkac ,problem exists between keyboard and chair
3520,pebmac ,Problem Exist Between monitor and chair
3521,peep dis ,check out what I'm telling you
3522,peeps ,people
3523,pen0r ,Penis
3524,pen15 ,penis
3525,penor ,penis
3526,peoples ,people
3527,perv ,pervert
3528,pewp ,poop
3529,pex ,Please explain?
3530,pezzas ,parents
3531,pf ,profile 
3532,pfa ,Please Find Attached
3533,pfm ,Please forgive me
3534,pfo ,please f**k off
3535,pfos ,parental figure over sholder
3536,pfy ,pimply faced youth
3537,pg ,page
3538,ph# ,phone number
3539,ph33r ,fear
3540,ph34r ,fear
3541,phag ,f**
3542,phail ,fail
3543,phat ,pretty hot and tasty
3544,phayl ,fail
3545,phear ,fear
3546,phlr ,peace hugs love respect
3547,phm ,please help me
3548,phq ,f**k you
3549,phreak ,freak
3550,phreaker ,phone hacker
3551,phuck ,f**k
3552,phucker ,f**ker
3553,phuk ,f**k
3554,phun ,fun
3555,phux ,f**k
3556,phuxor ,f**k
3557,piab ,panties in a bunch
3558,pic ,picture
3559,piccies ,Pictures
3560,pics ,pictures
3561,pihb ,pee in his/her butt
3562,piihb ,put it in her butt
3563,piitb ,put it in the butt
3564,pima ,Pain in my ass
3565,pimfa ,pain in my f**king ass
3566,pimha ,Pain in my hairy ass
3567,pimpl ,pissing in my pants laughing
3568,pino ,Filipino
3569,pir ,parents in room
3570,pirlos ,parent in room looking over shoulder
3571,pita ,pain in the ass
3572,pitfa ,Pain In The f**king Ass
3573,pitr ,parent in the room
3574,pitrtul ,parents in the room text you later
3575,piw ,Parent is watching
3576,pix ,pictures
3577,pk ,player kill
3578,pkemon ,pokemon
3579,pker ,player killer
3580,pking ,player killing
3581,pl ,parent looking
3582,pl0x ,please
3583,pl8 ,plate
3584,plac ,parent looking at computer
3585,plams ,parents looking at my screen
3586,plars ,party like a rock star
3587,platcs ,parent looking at the computer screen
3588,ple's ,please
3589,pleaz ,please
3590,pleez ,please
3591,pleeze ,please
3592,pleze ,please
3593,pliz ,please
3594,plma ,please leave me alone 
3595,plmk ,please let me know
3596,plocks ,please
3597,plom ,parents looking over me
3598,plomb ,parents looking over my back
3599,ploms ,parent looking over my shoulder
3600,plos ,Parents Looking Over Shoulder
3601,plox ,please
3602,ploxxorz ,please
3603,pls ,please
3604,plse ,please
3605,plx ,please/thanks
3606,plywm ,play with me
3607,plz ,please
3608,plzkthx ,"Please? OK, Thank you"
3609,plzthx ,please? Thanks
3610,pmfji ,Pardon me for jumping in
3611,pmfsl ,piss my f**king self laughing
3612,pmg ,oh my God
3613,pmita ,pound me in the ass
3614,pmitap ,pound me in the ass prison
3615,pml ,pissing myself laughing
3616,pmo ,pissing me off
3617,pmp ,pissing my pants
3618,pmpl ,piss my pants laughing
3619,pmsfl ,Pissed Myself f**king Laughing
3620,pmsl ,piss my self laughing
3621,pmt ,pretty much this
3622,pnbf ,Potential new boy friend
3623,pnhlgd ,"parents not home, let's get dirty"
3624,pns ,penis
3625,pnus ,penis
3626,po ,piss off
3627,po po ,police
3628,po'd ,pissed off
3629,pob ,parent over back
3630,poc ,Piece of crap
3631,poed ,pissed off
3632,poets ,"piss off early, tomorrow's Saturday"
3633,poi ,point of interest
3634,poidnh ,Pics or it did not happen 
3635,pol ,parent over looking
3636,poms ,parent over my shoulder
3637,poo ,poop
3638,poontang ,female genitalia
3639,pooter ,Computer
3640,popo ,police
3641,poq ,Piss Off Quick
3642,pos ,Parent Over Shoulder
3643,poscs ,parents over sholder change subject
3644,posmbri ,parent over shoulder might be reading it
3645,potc ,pirates of the caribbean
3646,pots ,Plain Old Telephone Service
3647,pov ,point of view
3648,pow ,prisoner of war
3649,pp ,pee pee
3650,ppl ,people
3651,ppls ,people
3652,pplz ,people
3653,ppor ,post proof or recant
3654,ppppppp ,Prior Proper Planning Prevents Piss Poor Performance
3655,pr0 ,professional
3656,pr0n ,porn
3657,pr0nz ,porn
3658,prblm ,Problem
3659,prd ,period
3660,preggers ,pregnant
3661,prego ,Pregnant
3662,prfct ,perfect
3663,prn ,porn
3664,prncpl ,principal
3665,prncss ,princess
3666,prnoscrn ,porn on screen
3667,pro ,professional
3668,prob ,problem
3669,probly ,probably
3670,probz ,probably
3671,prod ,product
3672,prolly ,Probably
3673,prollz ,probably
3674,promos ,promotions
3675,pron ,porn
3676,proxie ,proxy
3677,prp ,please reply
3678,prsn ,person
3679,prty ,party
3680,prv ,private
3681,prvrt ,pervert
3682,prw ,parents are watching
3683,ps1 ,Play Station 1
3684,ps2 ,Play Station 2
3685,ps3 ,Play Station 3
3686,psa ,Public Service Announcement
3687,psbms ,parent standing by my side
3688,psn ,playstation netwok
3689,psos ,parent standing over sholder
3690,psp ,playstation portable
3691,pssy ,p***y
3692,pst ,please send tell
3693,pt33n ,preteen
3694,ptbb ,pass the barf bag
3695,ptfo ,passed the f**k out
3696,pthc ,preteen hardcore
3697,ptl ,Praise the Lord
3698,pto ,Personal Time Off 
3699,ptw ,play to win 
3700,puh-leaze ,Please
3701,purty ,pretty
3702,puter ,Computer
3703,pvp ,player versus player
3704,pvt ,pervert
3705,pw ,parent watching
3706,pwb ,p***y whipped b***h
3707,pwcb ,parents watching close by
3708,pwd ,password
3709,pwn ,made to look bad
3710,pwn3d ,owned
3711,pwn3r ,owner
3712,pwnage ,Ownage
3713,pwnd ,owned
3714,pwned ,made to look bad
3715,pwner ,owner
3716,pwnr ,owner
3717,pwnt ,owned
3718,pwnz ,owns
3719,pwnzor ,owner
3720,pwob ,Parent watching over back
3721,pwoms ,parent watching over my shoulder
3722,pwor ,power
3723,pwos ,parent was over sholder
3724,pww ,parents were watching
3725,pxr ,punk rocker
3726,pydim ,put your d**k in me
3727,pyfco ,put your freaking clothes on
3728,pyt ,pretty young thing
3729,pz ,peace
3730,pzled ,puzzled
3731,p^s ,parent over shoulder
3732,q2c ,quick to c**
3733,q33r ,Queer
3734,q4u ,question for you
3735,qed ,I've made my Point
3736,qfe ,quoted for emphasis
3737,qfmft ,quoted for motherf**king truth
3738,qft ,quoted for truth
3739,qft&gj ,quoted for truth and great justice
3740,ql ,cool
3741,qltm ,quietly laughing to myself
3742,qna ,question and answer
3743,qool ,cool
3744,qoolz ,cool
3745,qotd ,quote of the day
3746,qotsa ,queens of the stone age
3747,qoty ,quote of the year
3748,qpr ,quite pathetic really
3749,qpwd ,quit posting while drunk
3750,qq ,crying eyes
3751,qt ,cutie
3752,qt3.14 ,cutie pie
3753,qte ,cutie
3754,qtpi ,cutie pie
3755,Irdfc ,I really don't f**king care
3756,NRA ,National Rifle Association
3757,r ,are
3758,r-tard ,retard
3759,r.i.p ,Rest in peace
3760,r.i.p. ,rest in peace
3761,r0x0rz ,rocks
3762,r2f ,Ready To f**k
3763,r8 ,rate
3764,r8p ,rape
3765,r8pist ,rapist
3766,r8t ,rate
3767,ra2 ,red alert 2 (game)
3768,ra3 ,Red Alert 3 (game)
3769,raoflmao ,rolling around on floor laughing my ass off
3770,rawk ,Rock
3771,rawks ,rocks
3772,rawr ,roar
3773,rb@u ,right back at you
3774,rbau ,right back at you
3775,rbay ,right back at you
3776,rbm ,right behind me
3777,rbtl ,Read between the lines
3778,rbty ,right back to you
3779,rcks ,Rocks
3780,rcsa ,right click save as
3781,rcvd ,received
3782,rdy ,ready
3783,re ,reply
3784,re/rehi ,hello again
3785,reefer ,marijuana
3786,refl ,rolling on the floor laughing
3787,rehi ,hello again
3788,rele ,really
3789,rents ,parents
3790,rentz ,parents
3791,rep ,to represent
3792,reppin ,representing
3793,retrotextual ,One who is using out of date words and abbreviations while texting.
3794,rff ,really f**king funny
3795,rflmao ,rolling on the floor laughing my ass off
3796,rfn ,right f**king now
3797,rgr ,roger
3798,rhcp ,red hot chilli peppers
3799,rhgir ,really hot guy in room
3800,rhs ,right hand side
3801,ricl ,rolling in chair laughing
3802,rifk ,rolling on the floor laughing
3803,rihad ,Rot In Hell And Die
3804,rino ,republican in name only
3805,rite ,right
3806,ritjive ,non virgin
3807,rjct ,reject
3808,rl ,real life
3809,rlbf ,Real Life Boy Friend
3810,rlf ,Real Life Friend
3811,rlg ,really loud giggle
3812,rlgf ,Real Life Girl Friend
3813,rlly ,really
3814,rln ,real life name
3815,rly ,really
3816,rlz ,rules
3817,rlze ,realize
3818,rm ,room
3819,rmao ,rolling my ass off
3820,rme ,rolling my eyes
3821,rmr ,remember
3822,rmso ,Rock My socks off
3823,rn ,Right now
3824,rnt ,aren't
3825,ro ,rock out
3826,rockr ,rocker
3827,rodger ,affirmative
3828,rofalol ,roll on the floor and laugh out loud
3829,rofc ,Rolling On Floor Crying
3830,roffle ,rolling on the floor laughing
3831,roffle out loud ,rolling on the floor laughing out loud
3832,rofflecake ,rolling on the floor laughing
3833,rofflecopters ,rolling on the floor with laughter
3834,roffleol ,rolling on the floor laughing out loud
3835,roffles ,rolling on floor laughing
3836,rofflmfao ,rolling on the floor laughing my f**king ass
3837,rofl ,rolling on the floor laughing
3838,rofl&pmp ,rolling on floor laughing and peeing my pants
3839,roflao ,rolling on the floor laughing my ass off
3840,roflastc ,Rolling On Floor Laughing And Scaring The Cat
3841,roflcopter ,Rolling on the floor laughing
3842,roflcopters ,"rolling on the floor laughing, VERY funny."
3843,roflkmd ,rolling on the floor laughing kicking my dog
3844,rofllh ,rolling on the floor laughing like hell
3845,roflmao ,rolling on the floor laughing my ass off
3846,roflmaoapimp ,rolling on the floor laughing my ass off and peeing in my pants
3847,roflmaool ,Rolling on the floor laughing my ass off out loud
3848,roflmaopmp ,"rolling on the floor, laughing my ass off, pissing my pants"
3849,roflmaouts ,Rolling on floor laughing my f**king ass off unable to speak
3850,roflmaowpimp ,rolling on floor laughing my ass off while peeing in my pants
3851,roflmbfao ,Rolling On Floor Laughing My Big Fat Ass Off 
3852,roflmbo ,rolling on floor laughing my butt off
3853,roflmfao ,rolling on the floor laughing my f**king ass off
3854,roflmfaopimp ,rolling on the floor laughing my f**king ass off pissing in my pants
3855,roflmfaopmp ,rolling on flor laughing my f**king ass of peeing my pants
3856,roflmgao ,rolling on the floor laughing my gay ass off
3857,roflmgdao ,rolling on the floor laughing my god damn ass off
3858,roflmgdmfao ,roling on floor laughing my god damn mother f**king ass off
3859,roflmgo ,Rolling On Floor Laughing My Guts Out
3860,roflmho ,Rolling on the floor laughing my head off
3861,roflmiaha ,Rolling on the floor laughing myself into a heart attack
3862,roflmmfao ,rolling on the floor laughing my mother f**king ass off
